,0,1
0,pabal 1,39
1,pabal 2,39
2,savari,39
3,sukhakhedi,20
4,pandri,39
5,nayakheda,20
6,naya gov,20
7,dudadeh,20
8,dudakhapa,20
9,kukra,20
10,sitiyagohna,20
11,godikheri mal,20
12,turakhapa,20
13,gohnadehmal,20
14,vineka,20
15,rengakheda,20
16,nandner,20
17,navalgov,20
18,sukarikala,20
19,mankwada,20
20,gundrai,20
21,godimarkadhana,20
22,khedikort1,38
23,ghana ,39
24,khadki,39
25,kondar,39
26,kundai ,39
27,gadra ,39
28,ghatbiroli 1 ,39
29,ghatbiroli 2,39
30,chichanda,39
31,chilhati 1,39
32,khedikort2,38
33,Khambara,39
34,birolijhilpa ,39
35,lihda,38
36,moharkheda,38
37,khursangdhana,39
38,malhara,39
39,khedidevnala,39
40,kowdiyadhana,39
41,somgarh,39
42,salaidhana,39
43,macha 2,20
44,tighda,20
45,birulbazar 1,39
46,chanderi,20
47,ajneri 1,20
48,ajneri 2,20
49,mahu ajneri ,20
50,beganiya,20
51,birulbazar 3,39
52,niwari,20
53,barwani,20
54,chanderi tola,20
55,badiyakhedi ,20
56,rani pipariya 2,20
57,sabdi,38
58,bmari,20
59,baruadhana 1,20
60,baruadhana 2,20
61,birulbazar 4,39
62,godi kalmeshra ,20
63,sabdi dhana,38
64,hirapur,20
65,sonkhedi,38
66,nagtra,20
67,nagtra mini,20
68,naktua,20
69,talakhedi,20
70,repura,20
71,khapriya,20
72,sukari khurd,20
73,semri 1,20
74,semri 2,20
75,semri 3,20
76,semri 4,20
77,budhni,21
78,semri 6,20
79,semri 7,20
80,semri 8,20
81,semri 9,20
82,jaminiya 1,20
83,gadaghant,21
84,jaminiya 2,20
85,bandhichodpipariya,20
86,samnapur,20
87,gohnadehrayat,20
88,siyarkheda,20
89,chitodpattn,20
90,char gov,20
91,bhajiyadhana,20
92,jijwada,20
93,subhash ward 1,20
94,subhash ward 2,20
95,gandhi ward 1,20
96,gandhi ward 2,20
97,tilak ward 1,20
98,tilak ward 2,20
99,shashtri ward 1,20
100,shashtri ward 2,20
101,indra ward 1,20
102,indra ward 2,20
103,kilapura ward 1,20
104,kilapura ward 2,20
105,umri ,39
106,sardar ward 1,20
107,sardar ward 2,20
108,bichuva,39
109,ramganj ,20
110,matapura ward ,20
111,rajendra ward,20
112,gotam ward,20
113,ramprasad ward,20
114,ambedkar ward,20
115,raghuwanshipura ward,20
116,jawhar ward,20
117,bodi,20
118,markadhana sheri,20
119,chichli,20
120,lagha 1,20
121,lagha 2,20
122,mamto chichli,20
123,billoud,30
124,chhipaner,30
125,tajpura1,30
126,kathadi,30
127,bhavras,30
128,tajpura2,30
129,kartana,30
130,gondaganv kala1,30
131,sanyasa,30
132,kuhigwadi,30
